species,dust_late,dust_N_late,dust_N_early,dust_early,gd_early,gd_late,d_dust,d_gd,cluster_size,newsite,site
MYLU,1,46,50,0.06,0.076923077,0.916666667,1,0.909722222,2.108695652,MI_BC,MI_BC
MYSE,1,21,24,0.166666667,0.076923077,1,1,1,1.592592593,MI_BC,MI_BC
MYLU,0.994680851,564,274,0.018248175,0,0.928571429,0.994581982,0.928571429,4.657458564,MI_GA,MI_GA
MYSE,0.947368421,38,40,0.125,0,0.6875,0.939849624,0.6875,1.316666667,MI_GA,MI_GA
MYLU,1,116,129,0.023255814,0.076923077,1,1,1,4.4,MI_MC,MI_MC
MYSE,1,16,23,0.173913043,0.076923077,0.909090909,1,0.901515152,1.272727273,MI_MC,MI_MC
MYLU,0.785714286,14,11,0.363636364,0,0.555555556,0.663265306,0.555555556,1.579710145,WI_SP,WI_SP
MYSE,0.6,5,4,0,0,0.75,0.6,0.75,1.090909091,WI_SP,WI_SP
PESU,0.285714286,21,20,0.15,0,0.185185185,0.159663866,0.185185185,1,WI_SP,WI_SP
MYLU,0.780748663,187,12,0.333333333,0,0.55,0.671122995,0.55,2.8,WI_SJ,WI_SJ
PESU,0.25,8,14,0.214285714,0,0,0.045454546,0,1,WI_SJ,WI_SJ
PESU,0.555555556,18,11,0.363636364,0,0.818181818,0.301587301,0.818181818,1.034482759,WI_ST,WI_ST
PESU,0.545454545,11,10,0.4,0,0.105263158,0.242424242,0.105263158,1,WI_SB,WI_SB
MYLU,0.971264368,174,200,0.015,0.3,0.95,0.970826769,0.928571429,2.604938272,MI_TM,MI_TM
MYSE,0.772727273,66,83,0.048192771,0.05,1,0.761219793,1,1.15625,MI_TM,MI_TM